trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-100,-583.978423736648,"{0: 67, 1: 13, 2: 30, 3: 5, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-15,-191.8100999859979,"{0: 20, 1: 5, 2: 5, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,-15,-208.12052725515224,"{0: 28, 1: 3, 2: 11, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,-69,-358.2505886801484,"{0: 63, 1: 7, 2: 17, 3: 2, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,-18,-179.1486194806634,"{0: 27, 1: 3, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,-47,-233.08911747492797,"{0: 53, 1: 7, 2: 12, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,-2,-125.36091244951649,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,-17,-216.56843917990776,"{0: 24, 1: 4, 2: 3, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,-54,-253.86626052735588,"{0: 53, 1: 6, 2: 9, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,-5,-110.04685160490058,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,5,-136.5438982130201,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-20,-172.93510774653606,"{0: 29, 1: 4, 2: 9, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,-28,-69.89973233502913,"{0: 40, 1: 3, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,-60,-126.95827104675749,"{0: 65, 1: 5, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,-4,-35.85945632122691,"{0: 28, 1: 3, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,11,17.119036865478893,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,16,8.682624627531734,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,-19,-44.288885319242205,"{0: 38, 1: 0, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,9,18.423428350075678,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,-4.144344676790423,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,12,25.954053654556596,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,9,-19.623546013352225,"{0: 23, 1: 0, 2: 0, 3: 3, 4: 0}",1
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,14.907844849954824,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,12,23.01157380816749,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,-17,17.112701577018473,"{0: 42, 1: 4, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,7,32.93256342106227,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,21,14.000532848104973,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,1,4.893195026730119,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,-4,-43.04747206115911,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,-17,8.763923888704838,"{0: 34, 1: 0, 2: 1, 3: 2, 4: 0}",0
