trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,-100,-659.864793562875,"{0: 69, 1: 20, 2: 28, 3: 7, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,-100,-371.06388737663457,"{0: 88, 1: 9, 2: 13, 3: 4, 4: 6}",0
3,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,-28,-84.44119597916809,"{0: 40, 1: 3, 2: 7, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,-6,-68.30217666666795,"{0: 21, 1: 0, 2: 1, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.1353352832366127}",25,-4,-83.3892903017729,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.0820849986238988}",35,24,-4.043389503285105,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,-31,46.596570027952794,"{0: 51, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,2,26.820986735303926,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.01831563888873418}",25,15,-64.56060486853278,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,-54,-159.3906584675634,"{0: 63, 1: 1, 2: 4, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.006737946999085467}",25,12,16.963483714197842,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.004086771438464067}",20,10,-27.12581314513722,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,13,3.871846728211141,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.0015034391929775724}",20,-5,-21.221084009950772,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.0009118819655545162}",35,14,-57.571953071392514,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.0005530843701478336}",25,3,-34.52303598875555,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.00033546262790251185}",25,1,-10.36265032078581,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.00020346836901064417}",25,13,-32.21056336521905,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.00012340980408667956}",25,-1,44.36252529428264,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",25,16,-5.379042263315075,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",30,-12,-33.053336114371895,"{0: 35, 1: 0, 2: 4, 3: 3, 4: 0}",0
22,False,"{'a': 0.5, 'e': 2.7536449349747158e-05}",35,20,24.393869616798852,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 1.670170079024566e-05}",20,0,-48.631924882442355,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
24,False,"{'a': 0.5, 'e': 1.013009359863071e-05}",20,-17,30.234442519499254,"{0: 35, 1: 0, 2: 1, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 6.14421235332821e-06}",20,13,-28.48473143454314,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 3.726653172078671e-06}",30,5,-6.403637132320403,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",1
27,False,"{'a': 0.5, 'e': 2.2603294069810542e-06}",30,14,-14.083284458246638,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 1.3709590863840845e-06}",20,2,-10.177455673922385,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 8.315287191035679e-07}",20,12,11.087149467276754,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 5.04347662567888e-07}",20,-6,44.00172786372295,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 3.059023205018258e-07}",20,-28,-21.062239267332956,"{0: 44, 1: 0, 2: 1, 3: 2, 4: 1}",0
32,False,"{'a': 0.5, 'e': 1.8553913626159784e-07}",20,12,10.60695763181555,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 1.1253517471925912e-07}",35,13,25.59886336841857,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 6.82560337633487e-08}",35,20,-14.881200180543981,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 4.139937718785167e-08}",25,13,21.76244626508551,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 2.510999155743982e-08}",20,-27,47.54829158869959,"{0: 45, 1: 1, 2: 0, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 1.522997974471263e-08}",20,-20,-1.7369480900352512,"{0: 38, 1: 0, 2: 0, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 9.237449661970594e-09}",20,8,22.475702832176403,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 5.602796437537268e-09}",20,10,14.30185677645835,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 3.398267819495071e-09}",25,-7,42.33117699899209,"{0: 31, 1: 0, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 2.061153622438558e-09}",25,-5,-11.0194338440066,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 1.2501528663867426e-09}",30,15,-37.32165239329102,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
43,False,"{'a': 0.5, 'e': 7.582560427911907e-10}",20,3,25.861302126514527,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 4.5990553786523166e-10}",20,8,15.54919891744791,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 2.7894680928689246e-10}",35,12,-4.839251100353798,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 1.6918979226151304e-10}",25,6,29.2217136495011,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 1.026187963170189e-10}",25,-12,65.08600592079235,"{0: 37, 1: 0, 2: 0, 3: 0, 4: 0}",0
