trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-62,-516.143322249708,"{0: 48, 1: 7, 2: 23, 3: 2, 4: 7}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-37,-357.5828535920716,"{0: 37, 1: 6, 2: 12, 3: 1, 4: 6}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-100,-878.8534701645531,"{0: 64, 1: 17, 2: 17, 3: 9, 4: 13}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-91,-592.261308392448,"{0: 57, 1: 21, 2: 30, 3: 3, 4: 5}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-100,-599.7441650589028,"{0: 79, 1: 12, 2: 27, 3: 5, 4: 7}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-540.8610747452624,"{0: 75, 1: 19, 2: 19, 3: 6, 4: 6}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-55,-385.86029036516095,"{0: 42, 1: 17, 2: 13, 3: 5, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,-100,-528.4056188144777,"{0: 86, 1: 11, 2: 23, 3: 3, 4: 7}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-35,-274.93559631555956,"{0: 34, 1: 6, 2: 9, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,-38,-457.08868823626096,"{0: 44, 1: 8, 2: 7, 3: 8, 4: 6}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,4,-89.99138902543216,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,-15,-170.17927393135008,"{0: 19, 1: 5, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-100,-554.72372054938,"{0: 63, 1: 18, 2: 25, 3: 13, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-9,-141.0149048313265,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,-100,-772.5980639922961,"{0: 69, 1: 22, 2: 23, 3: 6, 4: 10}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-10,-212.4857443777813,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,-100,-547.7493872737023,"{0: 82, 1: 16, 2: 18, 3: 8, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-15,-141.65191191697426,"{0: 25, 1: 3, 2: 8, 3: 4, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-83,-445.9546700379451,"{0: 68, 1: 7, 2: 25, 3: 3, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-57,-417.693693856642,"{0: 47, 1: 13, 2: 14, 3: 2, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,-100,-682.7409024078679,"{0: 73, 1: 22, 2: 20, 3: 6, 4: 9}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-100,-936.9148376760497,"{0: 59, 1: 19, 2: 28, 3: 6, 4: 13}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-665.6474162256009,"{0: 72, 1: 13, 2: 18, 3: 8, 4: 9}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,-100,-716.6658271159708,"{0: 66, 1: 21, 2: 24, 3: 5, 4: 9}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-86,-666.6167921750815,"{0: 67, 1: 7, 2: 22, 3: 5, 4: 10}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-24,-236.92769624159675,"{0: 24, 1: 11, 2: 4, 3: 1, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-100,-769.4189801942845,"{0: 68, 1: 12, 2: 31, 3: 3, 4: 11}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,-66,-520.0782599380948,"{0: 63, 1: 5, 2: 14, 3: 6, 4: 8}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,-22,-234.34317677636238,"{0: 32, 1: 6, 2: 9, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-100,-584.8371841635033,"{0: 71, 1: 16, 2: 28, 3: 4, 4: 6}",0
